workload,impl,threads,size,run_i,elapsed_ms,notes
sum,serial,1,80000000,0,89.247,res=80000000.000000
sum,serial,1,80000000,1,89.248,res=80000000.000000
sum,serial,1,80000000,2,89.936,res=80000000.000000
sum,serial,1,80000000,3,89.523,res=80000000.000000
sum,serial,1,80000000,4,90.515,res=80000000.000000
sum,serial,1,80000000,5,90.505,res=80000000.000000
sum,serial,1,80000000,6,89.872,res=80000000.000000
sum,serial,1,80000000,7,89.943,res=80000000.000000
sum,serial,1,80000000,8,89.324,res=80000000.000000
sum,serial,1,80000000,9,89.418,res=80000000.000000
sum,openmp,1,80000000,0,89.673,res=80000000.000000
sum,openmp,1,80000000,1,89.427,res=80000000.000000
sum,openmp,1,80000000,2,89.282,res=80000000.000000
sum,openmp,1,80000000,3,90.063,res=80000000.000000
sum,openmp,1,80000000,4,89.311,res=80000000.000000
sum,openmp,1,80000000,5,88.845,res=80000000.000000
sum,openmp,1,80000000,6,88.946,res=80000000.000000
sum,openmp,1,80000000,7,88.832,res=80000000.000000
sum,openmp,1,80000000,8,88.880,res=80000000.000000
sum,openmp,1,80000000,9,88.714,res=80000000.000000
sum,threads,1,80000000,0,90.619,res=80000000.000000
sum,threads,1,80000000,1,89.368,res=80000000.000000
sum,threads,1,80000000,2,89.210,res=80000000.000000
sum,threads,1,80000000,3,89.404,res=80000000.000000
sum,threads,1,80000000,4,90.088,res=80000000.000000
sum,threads,1,80000000,5,88.554,res=80000000.000000
sum,threads,1,80000000,6,91.598,res=80000000.000000
sum,threads,1,80000000,7,91.224,res=80000000.000000
sum,threads,1,80000000,8,90.047,res=80000000.000000
sum,threads,1,80000000,9,90.450,res=80000000.000000
sum,openmp,2,80000000,0,44.662,res=80000000.000000
sum,openmp,2,80000000,1,45.624,res=80000000.000000
sum,openmp,2,80000000,2,45.659,res=80000000.000000
sum,openmp,2,80000000,3,44.623,res=80000000.000000
sum,openmp,2,80000000,4,44.459,res=80000000.000000
sum,openmp,2,80000000,5,44.199,res=80000000.000000
sum,openmp,2,80000000,6,45.313,res=80000000.000000
sum,openmp,2,80000000,7,44.294,res=80000000.000000
sum,openmp,2,80000000,8,44.564,res=80000000.000000
sum,openmp,2,80000000,9,44.275,res=80000000.000000
sum,threads,2,80000000,0,45.069,res=80000000.000000
sum,threads,2,80000000,1,45.036,res=80000000.000000
sum,threads,2,80000000,2,45.714,res=80000000.000000
sum,threads,2,80000000,3,44.672,res=80000000.000000
sum,threads,2,80000000,4,45.248,res=80000000.000000
sum,threads,2,80000000,5,44.693,res=80000000.000000
sum,threads,2,80000000,6,44.853,res=80000000.000000
sum,threads,2,80000000,7,45.414,res=80000000.000000
sum,threads,2,80000000,8,45.189,res=80000000.000000
sum,threads,2,80000000,9,45.456,res=80000000.000000
sum,openmp,4,80000000,0,23.003,res=80000000.000000
sum,openmp,4,80000000,1,22.731,res=80000000.000000
sum,openmp,4,80000000,2,22.676,res=80000000.000000
sum,openmp,4,80000000,3,22.292,res=80000000.000000
sum,openmp,4,80000000,4,24.297,res=80000000.000000
sum,openmp,4,80000000,5,22.303,res=80000000.000000
sum,openmp,4,80000000,6,22.244,res=80000000.000000
sum,openmp,4,80000000,7,23.511,res=80000000.000000
sum,openmp,4,80000000,8,25.471,res=80000000.000000
sum,openmp,4,80000000,9,22.101,res=80000000.000000
