position,temperature
0,100.000000
1,99.973008
2,99.946016
3,99.919023
4,99.892031
5,99.865039
6,99.838047
7,99.811054
8,99.784062
9,99.757070
10,99.730078
11,99.703086
12,99.676094
13,99.649101
14,99.622109
15,99.595117
16,99.568125
17,99.541133
18,99.514141
19,99.487149
20,99.460157
21,99.433165
22,99.406173
23,99.379182
24,99.352190
25,99.325198
26,99.298206
27,99.271215
28,99.244223
29,99.217231
30,99.190240
31,99.163248
32,99.136257
33,99.109265
34,99.082274
35,99.055282
36,99.028291
37,99.001300
38,98.974309
39,98.947318
40,98.920327
41,98.893336
42,98.866345
43,98.839354
44,98.812363
45,98.785372
46,98.758382
47,98.731391
48,98.704401
49,98.677410
50,98.650420
51,98.623429
52,98.596439
53,98.569449
54,98.542459
55,98.515469
56,98.488479
57,98.461489
58,98.434500
59,98.407510
60,98.380520
61,98.353531
62,98.326541
63,98.299552
64,98.272563
65,98.245574
66,98.218585
67,98.191596
68,98.164607
69,98.137619
70,98.110630
71,98.083642
72,98.056653
73,98.029665
74,98.002677
75,97.975689
76,97.948701
77,97.921713
78,97.894725
79,97.867738
80,97.840750
81,97.813763
82,97.786776
83,97.759789
84,97.732802
85,97.705815
86,97.678828
87,97.651842
88,97.624855
89,97.597869
90,97.570883
91,97.543897
92,97.516911
93,97.489925
94,97.462940
95,97.435954
96,97.408969
97,97.381984
98,97.354999
99,97.328014
100,97.301029
101,97.274044
102,97.247060
103,97.220076
104,97.193092
105,97.166108
106,97.139124
107,97.112140
108,97.085157
109,97.058173
110,97.031190
111,97.004207
112,96.977224
113,96.950242
114,96.923259
115,96.896277
116,96.869295
117,96.842313
118,96.815331
119,96.788350
120,96.761368
121,96.734387
122,96.707406
123,96.680425
124,96.653444
125,96.626464
126,96.599484
127,96.572503
128,96.545524
129,96.518544
130,96.491564
131,96.464585
132,96.437606
133,96.410627
134,96.383648
135,96.356670
136,96.329691
137,96.302713
138,96.275735
139,96.248758
140,96.221780
141,96.194803
142,96.167826
143,96.140849
144,96.113872
145,96.086896
146,96.059920
147,96.032944
148,96.005968
149,95.978992
150,95.952017
151,95.925042
152,95.898067
153,95.871093
154,95.844118
155,95.817144
156,95.790170
157,95.763197
158,95.736223
159,95.709250
160,95.682277
161,95.655304
162,95.628332
163,95.601359
164,95.574387
165,95.547416
166,95.520444
167,95.493473
168,95.466502
169,95.439531
170,95.412561
171,95.385591
172,95.358621
173,95.331651
174,95.304682
175,95.277712
176,95.250743
177,95.223775
178,95.196806
179,95.169838
180,95.142871
181,95.115903
182,95.088936
183,95.061969
184,95.035002
185,95.008035
186,94.981069
187,94.954103
188,94.927138
189,94.900172
190,94.873207
191,94.846243
192,94.819278
193,94.792314
194,94.765350
195,94.738387
196,94.711423
197,94.684460
198,94.657498
199,94.630535
200,94.603573
201,94.576611
202,94.549650
203,94.522689
204,94.495728
205,94.468767
206,94.441807
207,94.414847
208,94.387887
209,94.360928
210,94.333969
211,94.307010
212,94.280052
213,94.253094
214,94.226136
215,94.199179
216,94.172222
217,94.145265
218,94.118308
219,94.091352
220,94.064396
221,94.037441
222,94.010486
223,93.983531
224,93.956577
225,93.929623
226,93.902669
227,93.875715
228,93.848762
229,93.821810
230,93.794857
231,93.767905
232,93.740954
233,93.714002
234,93.687051
235,93.660101
236,93.633150
237,93.606200
238,93.579251
239,93.552302
240,93.525353
241,93.498404
242,93.471456
243,93.444508
244,93.417561
245,93.390614
246,93.363667
247,93.336721
248,93.309775
249,93.282830
250,93.255885
251,93.228940
252,93.201995
253,93.175051
254,93.148108
255,93.121164
256,93.094222
257,93.067279
258,93.040337
259,93.013395
260,92.986454
261,92.959513
262,92.932572
263,92.905632
264,92.878693
265,92.851753
266,92.824814
267,92.797876
268,92.770938
269,92.744000
270,92.717063
271,92.690126
272,92.663189
273,92.636253
274,92.609317
275,92.582382
276,92.555447
277,92.528513
278,92.501579
279,92.474645
280,92.447712
281,92.420779
282,92.393847
283,92.366915
284,92.339983
285,92.313052
286,92.286122
287,92.259191
288,92.232262
289,92.205332
290,92.178403
291,92.151475
292,92.124547
293,92.097619
294,92.070692
295,92.043765
296,92.016839
297,91.989913
298,91.962988
299,91.936063
300,91.909138
301,91.882214
302,91.855291
303,91.828368
304,91.801445
305,91.774523
306,91.747601
307,91.720680
308,91.693759
309,91.666839
310,91.639919
311,91.612999
312,91.586080
313,91.559162
314,91.532244
315,91.505326
316,91.478409
317,91.451492
318,91.424576
319,91.397661
320,91.370745
321,91.343831
322,91.316917
323,91.290003
324,91.263090
325,91.236177
326,91.209265
327,91.182353
328,91.155441
329,91.128531
330,91.101620
331,91.074711
332,91.047801
333,91.020892
334,90.993984
335,90.967076
336,90.940169
337,90.913262
338,90.886356
339,90.859450
340,90.832545
341,90.805640
342,90.778736
343,90.751832
344,90.724929
345,90.698026
346,90.671124
347,90.644222
348,90.617321
349,90.590420
350,90.563520
351,90.536621
352,90.509721
353,90.482823
354,90.455925
355,90.429027
356,90.402130
357,90.375234
358,90.348338
359,90.321443
360,90.294548
361,90.267654
362,90.240760
363,90.213867
364,90.186974
365,90.160082
366,90.133191
367,90.106300
368,90.079409
369,90.052519
370,90.025630
371,89.998741
372,89.971853
373,89.944965
374,89.918078
375,89.891191
376,89.864305
377,89.837420
378,89.810535
379,89.783651
380,89.756767
381,89.729884
382,89.703001
383,89.676119
384,89.649238
385,89.622357
386,89.595477
387,89.568597
388,89.541718
389,89.514839
390,89.487961
391,89.461084
392,89.434207
393,89.407331
394,89.380455
395,89.353580
396,89.326705
397,89.299832
398,89.272958
399,89.246086
400,89.219213
401,89.192342
402,89.165471
403,89.138601
